BodyPart,adj,totalM,pctM,totalF,pctF,diff,total
arm,again,162,0.000805922,85,0.000633766,1.271640675,247
arm,all,21,0.000104471,16,0.000119297,-1.141911288,37
arm,almost,30,0.000149245,15,0.000111841,1.334437745,45
arm,already,24,0.000119396,9,6.71E-05,1.779250327,33
arm,around,89,0.00044276,34,0.000253506,1.746543519,123
arm,away,115,0.000572105,72,0.000536837,1.06569681,187
arm,back,204,0.001014865,130,0.000969288,1.047020385,334
arm,bare,69,0.000343263,174,0.001297355,-3.779478121,243
arm,bend,15,7.46E-05,10,7.46E-05,1.000828309,25
arm,big,44,0.000218892,7,5.22E-05,4.193947199,51
arm,break,19,9.45E-05,9,6.71E-05,1.408573175,28
arm,brown,14,6.96E-05,25,0.000186402,-2.676354581,39
arm,casually,20,9.95E-05,5,3.73E-05,2.66887549,25
arm,close,24,0.000119396,22,0.000164033,-1.373862018,46
arm,down,49,0.000243767,29,0.000216226,1.127369819,78
arm,even,54,0.000268641,25,0.000186402,1.441192765,79
arm,far,30,0.000149245,10,7.46E-05,2.001656618,40
arm,finally,19,9.45E-05,10,7.46E-05,1.267715858,29
arm,firmly,20,9.95E-05,19,0.000141665,-1.423820637,39
arm,fold,40,0.000198993,23,0.000171489,1.160380648,63
arm,forward,35,0.000174119,6,4.47E-05,3.89211009,41
arm,free,48,0.000238792,33,0.00024605,-1.030396514,81
arm,full,12,5.97E-05,40,0.000298243,-4.995861884,52
arm,gently,45,0.000223867,51,0.000380259,-1.698593041,96
arm,good,122,0.000606929,28,0.00020877,2.907167944,150
arm,great,15,7.46E-05,11,8.20E-05,-1.099089614,26
arm,hard,34,0.000169144,24,0.000178946,-1.057947222,58
arm,heavy,25,0.000124371,15,0.000111841,1.112031454,40
arm,high,31,0.00015422,20,0.000149121,1.034189252,51
arm,injure,21,0.000104471,7,5.22E-05,2.001656618,28
arm,instead,24,0.000119396,14,0.000104385,1.143803781,38
arm,late,15,7.46E-05,11,8.20E-05,-1.099089614,26
arm,leave,669,0.00332816,172,0.001282443,2.59517108,841
arm,lightly,25,0.000124371,16,0.000119297,1.042529488,41
arm,limp,17,8.46E-05,10,7.46E-05,1.134272083,27
arm,little,30,0.000149245,43,0.000320611,-2.14822061,73
arm,long,224,0.001114361,73,0.000544293,2.04735654,297
arm,loosely,14,6.96E-05,11,8.20E-05,-1.177596015,25
arm,much,60,0.00029849,28,0.00020877,1.429754727,88
arm,muscular,32,0.000159194,11,8.20E-05,1.941000356,43
arm,naked,12,5.97E-05,22,0.000164033,-2.747724036,34
arm,now,94,0.000467634,52,0.000387715,1.206126423,146
arm,numb,26,0.000129346,7,5.22E-05,2.478241526,33
